date,waterArea
2020-01-24,489.584
2020-02-08,502.209
2020-02-28,457.486
2020-03-19,459.683
2020-04-03,458.209
2020-04-08,473.633
2020-04-23,484.71
2020-04-25,372.34
2020-05-03,470.083
2020-05-08,470.538
2020-05-25,370.348
2020-06-02,460.385
2020-06-22,477.677
2020-06-27,449.138
2020-07-07,477.695
2020-07-12,447.504
2020-07-27,459.191
2020-08-01,482.052
2020-08-06,479.406
2020-08-11,474.768
2020-08-13,371.248
2020-08-21,478.716
2020-08-23,372.868
2020-09-05,480.748
2020-09-15,481.679
2020-09-30,494.748
2020-10-07,370.111
2020-10-10,490.029
2020-11-09,473.48
2020-11-11,380.998
2020-11-21,378.754
2020-11-24,478.703
2020-11-26,370.632
2021-01-08,479.712
2021-01-13,510.025
2021-02-14,390.681
2021-02-17,485.975
2021-02-24,360.699
2021-02-27,486.534
2021-03-01,372.712
2021-03-06,341.12
2021-03-09,473.957
2021-03-16,367.789
2021-03-19,460.939
2021-03-24,453.793
2021-03-26,368.713
2021-03-31,352.675
2021-04-08,470.599
2021-04-23,466.788
2021-04-28,474.693
2021-05-03,442.13
2021-05-08,468.255
2021-05-18,455.637
2021-05-28,454.924
2021-06-02,438.793
2021-06-04,363.346
2021-06-14,370.142
2021-06-17,447.268
2021-06-22,481.61
2021-06-24,366.292
2021-07-02,443.32
2021-07-07,476.699
2021-07-12,458.716
2021-07-22,481.039
2021-07-29,357.845
2021-08-03,374.774
2021-08-06,482.066
2021-08-11,474.782
2021-08-16,472.535
2021-08-21,481.354
2021-08-26,476.388
2021-09-05,481.792
2021-09-10,474.937
2021-09-12,365.655
2021-09-20,483.496
2021-09-30,474.039
2021-10-15,471.985
2021-10-17,382.262
2021-10-27,381.272
2021-10-30,477.038
2021-11-04,484.72
2021-11-06,373.585
2021-11-11,386.217
2021-11-24,481.462
2021-12-01,371.627
2021-12-06,367.507
2022-01-08,470.639
2022-01-18,475.246
2022-01-23,448.912
2022-01-28,443.787
2022-02-07,465.247
2022-02-12,458.043
2022-02-22,405.621
2022-03-04,486.839
2022-03-06,374.556
2022-03-09,444.988
2022-03-24,414.234
2022-03-26,336.899
2022-04-05,364.548
2022-04-18,476.634
2022-04-28,475.492
2022-05-03,473.417
2022-05-20,351.114
2022-06-12,469.374
2022-06-14,375.145
2022-06-19,365.062
2022-06-27,422.552
2022-07-02,465.32
2022-07-09,338.066
2022-07-12,476.517
2022-07-17,454.993
2022-07-19,352.111
2022-07-22,466.078
2022-07-24,358.121
2022-07-29,364.763
2022-08-01,469.538
2022-08-03,359.572
2022-08-06,467.104
2022-08-11,478.067
2022-08-16,474.397
2022-08-21,477.648
2022-09-10,482.014
2022-09-12,387.057
2022-09-20,475.514
2022-09-22,361.732
2022-10-15,478.605
2022-10-25,473.315
2022-10-30,481.973
2022-11-24,490.953
2023-01-10,380.609
2023-02-02,458.367
2023-02-07,478.865
2023-02-09,360.389
2023-02-12,433.4
2023-03-21,378.053
2023-04-10,378.983
2023-05-05,372.259
2023-05-23,469.178
2023-05-25,364.694
2023-06-02,482.247
2023-06-09,370.512
2023-06-12,460.216
2023-06-17,481.78
2023-06-29,368.373
2023-07-04,362.669
2023-07-07,442.768
2023-07-09,360.287
2023-07-17,479.801
2023-07-27,455.957
2023-08-11,477.573
2023-08-13,370.192
2023-08-16,482.367
2023-08-21,476.745
2023-08-23,364.856
2023-08-26,479.887
2023-09-02,379.741
2023-09-05,475.972
2023-09-07,392.474
2023-09-10,482.457
2023-09-27,378.703
2023-10-27,380.209
2023-11-04,501.806
2023-12-19,462.597
2024-01-13,503.961
2024-01-23,495.904
2024-02-02,445.467
2024-02-19,371.903
2024-03-13,486.74
2024-03-25,377.637
2024-04-12,471.113
2024-04-14,365.234
2024-04-29,351.895
2024-06-28,357.527
2024-07-06,479.204
2024-07-11,470.015
2024-07-16,476.175
2024-07-21,482.713
2024-07-26,470.712
2024-07-31,478.323
2024-08-10,474.053
2024-08-15,473.535
2024-08-25,474.892
2024-08-27,367.325
2024-08-30,484.511
2024-09-21,380.636
2024-09-29,485.359
2024-10-21,379.624
2024-10-29,485.945
2024-10-31,386.954
2024-11-03,497.092
2024-11-13,492.153
2024-11-23,480.783
2024-12-13,492.992
2024-12-13,493.236
2024-12-30,381.174
